SaleTransaction {uuid = 'F3B7DE17-B2F0-1F17-2B2D-5E947D8E6355', type = 'brazilian', size = 'L', price = '£4.50', offer = 'ga', discount = '', userId = '8, country = 'UK', city = London}
SaleTransaction {uuid = '4D1A2C4A-7F96-1534-AFCA-7FBE3F558053', type = 'brazilian', size = 'S', price = '£3.00', offer = 'h&l', discount = '', userId = '41, country = 'UK', city = London}
SaleTransaction {uuid = '430ACE91-F868-1336-4998-A8EF8D33F29F', type = 'colombian', size = 'M', price = '£3.75', offer = '', discount = '', userId = '94, country = 'UK', city = London}
SaleTransaction {uuid = '4B09D963-4BB8-A5E6-37F9-FADA763B3290', type = 'colombian', size = 'L', price = '£4.50', offer = 'gft', discount = '', userId = '46, country = 'UK', city = London}
SaleTransaction {uuid = '8175A1F7-560F-925E-706F-97E63F536A14', type = 'brazilian', size = 'S', price = '£3.00', offer = '', discount = '', userId = '12, country = 'UK', city = London}
SaleTransaction {uuid = 'F69DD53A-1373-E808-0929-DCDED15DE53F', type = 'colombian', size = 'S', price = '£3.00', offer = '', discount = '', userId = '44, country = 'UK', city = London}
SaleTransaction {uuid = '4BC96420-A5DB-9C22-849C-438DECADA4BB', type = 'colombian', size = 'S', price = '£3.00', offer = 'h&l', discount = '', userId = '80, country = 'UK', city = London}
SaleTransaction {uuid = '8BD07950-04DB-29E0-A0AF-79EA08C4EFC6', type = 'colombian', size = 'S', price = '£3.00', offer = '', discount = '', userId = '9, country = 'UK', city = London}
SaleTransaction {uuid = '96130002-B8B1-4F67-23BB-8223C9690160', type = 'brazilian', size = 'S', price = '£3.00', offer = '', discount = '30%', userId = '10, country = 'UK', city = London}
SaleTransaction {uuid = 'A3DE0D68-4F97-3052-6876-D081BA7C3197', type = 'colombian', size = 'M', price = '£3.75', offer = 'sg', discount = '', userId = '84, country = 'UK', city = London}
SaleTransaction {uuid = '40187454-4A8B-1BFD-E444-5CFDE0C8F968', type = 'blend', size = 'M', price = '£3.75', offer = '', discount = '25%', userId = '97, country = 'UK', city = London}
SaleTransaction {uuid = 'EA9B4A98-7501-1583-9EF3-E21106C44F46', type = 'brazilian', size = 'XL', price = '£5.00', offer = 'gft', discount = '', userId = '24, country = 'UK', city = London}
SaleTransaction {uuid = '08DA1190-B48C-0293-C341-E735312D97E7', type = 'blend', size = 'S', price = '£3.00', offer = '', discount = '', userId = '82, country = 'UK', city = London}
SaleTransaction {uuid = 'D3B75F84-3F2A-F601-78FD-28D96E0EE1CA', type = 'colombian', size = 'L', price = '£4.50', offer = '', discount = '', userId = '54, country = 'UK', city = London}
SaleTransaction {uuid = '88104FD4-DD9F-2A58-C329-777D62D3EDD1', type = 'blend', size = 'S', price = '£3.00', offer = '', discount = '', userId = '32, country = 'UK', city = London}
SaleTransaction {uuid = 'FE912DD2-6613-175D-0DD1-D5EC4FA46B14', type = 'espresso', size = 'M', price = '£3.75', offer = 'h&l', discount = '15%', userId = '22, country = 'UK', city = London}
SaleTransaction {uuid = 'FF868BCF-3528-6ACA-7991-66CF151EF1CD', type = 'espresso', size = 'L', price = '£4.50', offer = '', discount = '', userId = '70, country = 'UK', city = London}
SaleTransaction {uuid = '0A4B8257-165F-9AEA-B55A-AA7B72B97A5E', type = 'colombian', size = 'M', price = '£3.75', offer = '', discount = '20%', userId = '16, country = 'UK', city = London}
SaleTransaction {uuid = 'F20A54EF-2A77-DE28-2DFB-657B8B3FAFA0', type = 'espresso', size = 'M', price = '£3.75', offer = '', discount = '', userId = '25, country = 'UK', city = London}
SaleTransaction {uuid = '9FD885D2-9664-82A0-B7AE-695EF594FFAD', type = 'brazilian', size = 'S', price = '£3.00', offer = 'ga', discount = '', userId = '63, country = 'UK', city = London}
SaleTransaction {uuid = '430ACE91-F868-1336-4998-A8EF8D33F29F', type = 'colombian', size = 'M', price = '£3.75', offer = '', discount = '', userId = '94, country = 'UK', city = London}
SaleTransaction {uuid = '8BD07950-04DB-29E0-A0AF-79EA08C4EFC6', type = 'colombian', size = 'S', price = '£3.00', offer = '', discount = '', userId = '9, country = 'UK', city = London}
SaleTransaction {uuid = 'CF1266B9-DF2F-2EE4-2B83-5704ACF57717', type = 'espresso', size = 'XL', price = '£5.00', offer = 'gft', discount = '15%', userId = '81, country = 'UK', city = London}
SaleTransaction {uuid = 'BB06DDA0-9130-E14E-D835-9F7F3510BE6A', type = 'colombian', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '9, country = 'UK', city = London}
SaleTransaction {uuid = '1B0257D1-C187-7207-831B-F506EE4C05D5', type = 'colombian', size = 'M', price = '£3.75', offer = '', discount = '', userId = '18, country = 'UK', city = London}
SaleTransaction {uuid = '8175A1F7-560F-925E-706F-97E63F536A14', type = 'brazilian', size = 'S', price = '£3.00', offer = '', discount = '', userId = '12, country = 'UK', city = London}
SaleTransaction {uuid = 'F69DD53A-1373-E808-0929-DCDED15DE53F', type = 'colombian', size = 'S', price = '£3.00', offer = '', discount = '', userId = '44, country = 'UK', city = London}
SaleTransaction {uuid = '5BAA8F43-7AC3-7ED2-2C4A-FB5B3F2CD45F', type = 'blend', size = 'S', price = '£3.00', offer = '', discount = '', userId = '75, country = 'UK', city = London}
SaleTransaction {uuid = '4B09D963-4BB8-A5E6-37F9-FADA763B3290', type = 'colombian', size = 'L', price = '£4.50', offer = 'gft', discount = '', userId = '46, country = 'UK', city = London}
SaleTransaction {uuid = '4BC96420-A5DB-9C22-849C-438DECADA4BB', type = 'colombian', size = 'S', price = '£3.00', offer = 'h&l', discount = '', userId = '80, country = 'UK', city = London}
SaleTransaction {uuid = 'D660C815-7756-8642-D700-8AA57FC0EEC8', type = 'espresso', size = 'M', price = '£3.75', offer = '', discount = '', userId = '71, country = 'UK', city = London}
SaleTransaction {uuid = '3E655572-A8FB-DC0C-6DEA-6D0CF7FFE9E5', type = 'blend', size = 'M', price = '£3.75', offer = '', discount = '', userId = '20, country = 'UK', city = London}
SaleTransaction {uuid = '5F2C2006-5DBF-82FA-B65A-6878E277402D', type = 'colombian', size = 'M', price = '£3.75', offer = 'ga', discount = '20%', userId = '88, country = 'UK', city = London}
SaleTransaction {uuid = 'E1157A61-679B-0BCE-4DC8-F363AC433F54', type = 'blend', size = 'M', price = '£3.75', offer = 'h&l', discount = '20%', userId = '22, country = 'UK', city = London}
SaleTransaction {uuid = 'EF314E0C-9041-0AD0-A9C0-E1A4B2DD0C59', type = 'colombian', size = 'M', price = '£3.75', offer = 'sg', discount = '', userId = '23, country = 'UK', city = London}
SaleTransaction {uuid = 'D1DB8756-D047-3918-920E-ECBCB73FEF71', type = 'blend', size = 'S', price = '£3.00', offer = '', discount = '15%', userId = '87, country = 'UK', city = London}
SaleTransaction {uuid = '518F2A6D-DAF6-53B1-98C1-C24233532868', type = 'colombian', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '99, country = 'UK', city = London}
SaleTransaction {uuid = '97DE2656-888B-DB6F-91DC-BF4C281A40B7', type = 'blend', size = 'S', price = '£3.00', offer = 'ga', discount = '30%', userId = '75, country = 'UK', city = London}
SaleTransaction {uuid = 'F7E7C550-C65B-CEAE-99C5-BEF9735D19F8', type = 'espresso', size = 'XL', price = '£5.00', offer = 'h&l', discount = '', userId = '69, country = 'UK', city = London}
SaleTransaction {uuid = '63912E68-4A94-290A-3678-7313A648657E', type = 'blend', size = 'L', price = '£4.50', offer = '', discount = '', userId = '75, country = 'UK', city = London}
SaleTransaction {uuid = '362EB171-C89D-B86C-3E43-764023C32F99', type = 'blend', size = 'S', price = '£3.00', offer = '', discount = '', userId = '18, country = 'UK', city = London}
SaleTransaction {uuid = '945F7328-2256-68CA-406B-08DB2B3B18AE', type = 'espresso', size = 'L', price = '£4.50', offer = '', discount = '', userId = '28, country = 'UK', city = London}
SaleTransaction {uuid = '0FCF5370-4F0F-8E01-4DA7-BAE26AF84F4E', type = 'colombian', size = 'L', price = '£4.50', offer = '', discount = '', userId = '58, country = 'UK', city = London}
SaleTransaction {uuid = '06343C30-FB39-A7D3-096E-F5D61B31D0AA', type = 'colombian', size = 'M', price = '£3.75', offer = '', discount = '', userId = '83, country = 'UK', city = London}
SaleTransaction {uuid = '5E582826-0DEB-D699-3FBC-FC29C9243EE2', type = 'colombian', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '41, country = 'UK', city = London}
SaleTransaction {uuid = '5E2DC3E4-E288-5815-804F-4331D726A021', type = 'blend', size = 'XL', price = '£5.00', offer = 'h&l', discount = '', userId = '72, country = 'UK', city = London}
SaleTransaction {uuid = 'CF5AC7C9-C037-C46F-C0F8-7FD3509E158E', type = 'blend', size = 'M', price = '£3.75', offer = 'sg', discount = '15%', userId = '28, country = 'UK', city = London}
SaleTransaction {uuid = 'CE319D2D-AD34-1117-39D5-078203D1EC68', type = 'blend', size = 'XL', price = '£5.00', offer = 'sg', discount = '', userId = '88, country = 'UK', city = London}
SaleTransaction {uuid = '4284AD83-05B2-43A2-2F3B-AA04892D5C78', type = 'espresso', size = 'M', price = '£3.75', offer = '', discount = '', userId = '6, country = 'UK', city = London}
SaleTransaction {uuid = '886A8583-AC38-4BE6-6C0A-C75A8112748E', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '30%', userId = '81, country = 'UK', city = London}
SaleTransaction {uuid = 'CF1266B9-DF2F-2EE4-2B83-5704ACF57717', type = 'espresso', size = 'XL', price = '£5.00', offer = 'gft', discount = '15%', userId = '81, country = 'UK', city = London}
SaleTransaction {uuid = 'BB06DDA0-9130-E14E-D835-9F7F3510BE6A', type = 'colombian', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '9, country = 'UK', city = London}
SaleTransaction {uuid = '1B0257D1-C187-7207-831B-F506EE4C05D5', type = 'colombian', size = 'M', price = '£3.75', offer = '', discount = '', userId = '18, country = 'UK', city = London}
SaleTransaction {uuid = '2E905A79-2293-0D06-0C8D-1692483F9702', type = 'espresso', size = 'L', price = '£4.50', offer = 'ga', discount = '', userId = '5, country = 'UK', city = London}
SaleTransaction {uuid = '8175A1F7-560F-925E-706F-97E63F536A14', type = 'brazilian', size = 'S', price = '£3.00', offer = '', discount = '', userId = '12, country = 'UK', city = London}
SaleTransaction {uuid = 'F69DD53A-1373-E808-0929-DCDED15DE53F', type = 'colombian', size = 'S', price = '£3.00', offer = '', discount = '', userId = '44, country = 'UK', city = London}
SaleTransaction {uuid = '10930948-FDFF-6BDD-8BEB-8B20284F5681', type = 'brazilian', size = 'M', price = '£3.75', offer = 'gft', discount = '30%', userId = '39, country = 'UK', city = London}
SaleTransaction {uuid = 'AD5A422A-D4BA-F5B3-49C1-EBC3B1456DF1', type = 'brazilian', size = 'M', price = '£3.75', offer = 'gft', discount = '', userId = '44, country = 'UK', city = London}
SaleTransaction {uuid = '95ED419F-2B78-29D6-183E-8F383320129B', type = 'colombian', size = 'M', price = '£3.75', offer = '', discount = '', userId = '90, country = 'UK', city = London}
SaleTransaction {uuid = '2B4E912C-42CF-2D33-54AB-E4738B99E4AF', type = 'espresso', size = 'M', price = '£3.75', offer = '', discount = '', userId = '11, country = 'UK', city = London}
SaleTransaction {uuid = '068D891F-AEED-5DF3-73D8-C47FE16D8A08', type = 'colombian', size = 'S', price = '£3.00', offer = 'ga', discount = '', userId = '80, country = 'UK', city = London}
SaleTransaction {uuid = '4DAFE572-3EDC-22C6-9074-C58578BC61D5', type = 'colombian', size = 'S', price = '£3.00', offer = '', discount = '20%', userId = '10, country = 'UK', city = London}
SaleTransaction {uuid = 'B5F3DF8D-31ED-5966-3FA7-FB08A830BE08', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '11, country = 'UK', city = London}
SaleTransaction {uuid = 'C2A62697-79B3-149E-44E6-B703DCBE6EB4', type = 'espresso', size = 'M', price = '£3.75', offer = 'h&l', discount = '', userId = '95, country = 'UK', city = London}
SaleTransaction {uuid = 'E9B18250-071B-05F3-7070-30C4FD0B2325', type = 'espresso', size = 'M', price = '£3.75', offer = '', discount = '', userId = '41, country = 'UK', city = London}
SaleTransaction {uuid = '82870DCC-4BE9-EFBA-2880-8D8B5A23A5EB', type = 'blend', size = 'S', price = '£3.00', offer = 'gft', discount = '25%', userId = '74, country = 'UK', city = London}
SaleTransaction {uuid = '51C4F2C7-EEE3-5E39-DD2E-A29C313FDAA5', type = 'blend', size = 'L', price = '£4.50', offer = 'ga', discount = '15%', userId = '39, country = 'UK', city = London}
SaleTransaction {uuid = '48A19EDA-4763-51E4-427E-7BD3219E914F', type = 'colombian', size = 'L', price = '£4.50', offer = '', discount = '20%', userId = '47, country = 'UK', city = London}
SaleTransaction {uuid = '25429B98-7A8B-2E80-5F0B-73399F6F1E60', type = 'colombian', size = 'XL', price = '£5.00', offer = '', discount = '20%', userId = '88, country = 'UK', city = London}
SaleTransaction {uuid = '08AF9FFA-1655-9A14-7EC4-B2886FB6F244', type = 'colombian', size = 'S', price = '£3.00', offer = '', discount = '', userId = '89, country = 'UK', city = London}
SaleTransaction {uuid = '4D6729DF-9684-DAE8-3B7E-3B21D53D88FD', type = 'brazilian', size = 'S', price = '£3.00', offer = 'h&l', discount = '20%', userId = '50, country = 'UK', city = London}
SaleTransaction {uuid = '2ECE439E-0CE9-E72E-740F-17A2D6305BD3', type = 'espresso', size = 'M', price = '£3.75', offer = 'gft', discount = '20%', userId = '3, country = 'UK', city = London}
SaleTransaction {uuid = '56004152-182C-204F-99FE-998ED2646584', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '30%', userId = '90, country = 'UK', city = London}
SaleTransaction {uuid = '96130002-B8B1-4F67-23BB-8223C9690160', type = 'brazilian', size = 'S', price = '£3.00', offer = '', discount = '30%', userId = '10, country = 'UK', city = London}
SaleTransaction {uuid = 'A3DE0D68-4F97-3052-6876-D081BA7C3197', type = 'colombian', size = 'M', price = '£3.75', offer = 'sg', discount = '', userId = '84, country = 'UK', city = London}
SaleTransaction {uuid = '427ED753-37F2-5C13-BAB1-0C3C9245E05B', type = 'brazilian', size = 'M', price = '£3.75', offer = 'sg', discount = '', userId = '22, country = 'UK', city = London}
SaleTransaction {uuid = '04C2ED35-6744-6A58-5255-1CA7911D1D58', type = 'espresso', size = 'S', price = '£3.00', offer = '', discount = '15%', userId = '5, country = 'UK', city = London}
SaleTransaction {uuid = '31CF3379-5655-E185-E18D-EA53D85FE4C5', type = 'colombian', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '52, country = 'UK', city = London}
SaleTransaction {uuid = 'D660C815-7756-8642-D700-8AA57FC0EEC8', type = 'espresso', size = 'M', price = '£3.75', offer = '', discount = '', userId = '71, country = 'UK', city = London}
SaleTransaction {uuid = 'B9431DAD-E090-C5EA-90DA-474FF5CC4F95', type = 'espresso', size = 'S', price = '£3.00', offer = '', discount = '', userId = '58, country = 'UK', city = London}
SaleTransaction {uuid = '3E655572-A8FB-DC0C-6DEA-6D0CF7FFE9E5', type = 'blend', size = 'M', price = '£3.75', offer = '', discount = '', userId = '20, country = 'UK', city = London}
SaleTransaction {uuid = '8C64F7CB-8C24-50F1-0CB3-1FBAF8C446A6', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '29, country = 'UK', city = London}
SaleTransaction {uuid = '40187454-4A8B-1BFD-E444-5CFDE0C8F968', type = 'blend', size = 'M', price = '£3.75', offer = '', discount = '25%', userId = '97, country = 'UK', city = London}
SaleTransaction {uuid = '7E231C94-03B3-90ED-30E8-6A9A27937D63', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '30%', userId = '43, country = 'UK', city = London}
SaleTransaction {uuid = '9E87CB4E-367A-F13C-F263-2F5D82F6378D', type = 'espresso', size = 'M', price = '£3.75', offer = 'sg', discount = '', userId = '57, country = 'UK', city = London}
SaleTransaction {uuid = '5BAA8F43-7AC3-7ED2-2C4A-FB5B3F2CD45F', type = 'blend', size = 'S', price = '£3.00', offer = '', discount = '', userId = '75, country = 'UK', city = London}
SaleTransaction {uuid = 'CF5AC7C9-C037-C46F-C0F8-7FD3509E158E', type = 'blend', size = 'M', price = '£3.75', offer = 'sg', discount = '15%', userId = '28, country = 'UK', city = London}
SaleTransaction {uuid = 'CE319D2D-AD34-1117-39D5-078203D1EC68', type = 'blend', size = 'XL', price = '£5.00', offer = 'sg', discount = '', userId = '88, country = 'UK', city = London}
SaleTransaction {uuid = '4284AD83-05B2-43A2-2F3B-AA04892D5C78', type = 'espresso', size = 'M', price = '£3.75', offer = '', discount = '', userId = '6, country = 'UK', city = London}
SaleTransaction {uuid = '886A8583-AC38-4BE6-6C0A-C75A8112748E', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '30%', userId = '81, country = 'UK', city = London}
SaleTransaction {uuid = '427ED753-37F2-5C13-BAB1-0C3C9245E05B', type = 'brazilian', size = 'M', price = '£3.75', offer = 'sg', discount = '', userId = '22, country = 'UK', city = London}
SaleTransaction {uuid = '5BAA8F43-7AC3-7ED2-2C4A-FB5B3F2CD45F', type = 'blend', size = 'S', price = '£3.00', offer = '', discount = '', userId = '75, country = 'UK', city = London}
SaleTransaction {uuid = 'CF5AC7C9-C037-C46F-C0F8-7FD3509E158E', type = 'blend', size = 'M', price = '£3.75', offer = 'sg', discount = '15%', userId = '28, country = 'UK', city = London}
SaleTransaction {uuid = 'CE319D2D-AD34-1117-39D5-078203D1EC68', type = 'blend', size = 'XL', price = '£5.00', offer = 'sg', discount = '', userId = '88, country = 'UK', city = London}
SaleTransaction {uuid = '4284AD83-05B2-43A2-2F3B-AA04892D5C78', type = 'espresso', size = 'M', price = '£3.75', offer = '', discount = '', userId = '6, country = 'UK', city = London}
SaleTransaction {uuid = '886A8583-AC38-4BE6-6C0A-C75A8112748E', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '30%', userId = '81, country = 'UK', city = London}
SaleTransaction {uuid = '427ED753-37F2-5C13-BAB1-0C3C9245E05B', type = 'brazilian', size = 'M', price = '£3.75', offer = 'sg', discount = '', userId = '22, country = 'UK', city = London}
SaleTransaction {uuid = '04C2ED35-6744-6A58-5255-1CA7911D1D58', type = 'espresso', size = 'S', price = '£3.00', offer = '', discount = '15%', userId = '5, country = 'UK', city = London}
SaleTransaction {uuid = '31CF3379-5655-E185-E18D-EA53D85FE4C5', type = 'colombian', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '52, country = 'UK', city = London}
SaleTransaction {uuid = 'B9431DAD-E090-C5EA-90DA-474FF5CC4F95', type = 'espresso', size = 'S', price = '£3.00', offer = '', discount = '', userId = '58, country = 'UK', city = London}
SaleTransaction {uuid = '8C64F7CB-8C24-50F1-0CB3-1FBAF8C446A6', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '29, country = 'UK', city = London}
SaleTransaction {uuid = '7E231C94-03B3-90ED-30E8-6A9A27937D63', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '30%', userId = '43, country = 'UK', city = London}
SaleTransaction {uuid = '9E87CB4E-367A-F13C-F263-2F5D82F6378D', type = 'espresso', size = 'M', price = '£3.75', offer = 'sg', discount = '', userId = '57, country = 'UK', city = London}
SaleTransaction {uuid = '287087B9-A67F-0EC1-1BB4-B8239D7F1208', type = 'espresso', size = 'S', price = '£3.00', offer = '', discount = '', userId = '21, country = 'UK', city = London}
SaleTransaction {uuid = '70538E25-1295-57D5-AF22-B402218F89C6', type = 'espresso', size = 'XL', price = '£5.00', offer = 'ga', discount = '30%', userId = '89, country = 'UK', city = London}
SaleTransaction {uuid = '9639D373-E7F2-FC67-3990-CD487FA74919', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '52, country = 'UK', city = London}
SaleTransaction {uuid = '0B039D55-0EDF-8D74-2B6A-7A5F2CECF6B2', type = 'colombian', size = 'M', price = '£3.75', offer = '', discount = '30%', userId = '41, country = 'UK', city = London}
SaleTransaction {uuid = '4E27C39C-6372-4CC0-65BE-48E8CCFFFD5A', type = 'espresso', size = 'XL', price = '£5.00', offer = 'gft', discount = '20%', userId = '53, country = 'UK', city = London}
SaleTransaction {uuid = 'D35AB7D0-CEA7-4639-14F7-B07213B86D54', type = 'brazilian', size = 'L', price = '£4.50', offer = 'ga', discount = '', userId = '5, country = 'UK', city = London}
SaleTransaction {uuid = 'A05722C9-F506-3BD6-BF80-1E355E509147', type = 'espresso', size = 'S', price = '£3.00', offer = '', discount = '', userId = '41, country = 'UK', city = London}
SaleTransaction {uuid = '04C2ED35-6744-6A58-5255-1CA7911D1D58', type = 'espresso', size = 'S', price = '£3.00', offer = '', discount = '15%', userId = '5, country = 'UK', city = London}
SaleTransaction {uuid = '55E5B08E-F0F9-4466-1735-674FCB7C4D46', type = 'colombian', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '42, country = 'UK', city = London}
SaleTransaction {uuid = '31CF3379-5655-E185-E18D-EA53D85FE4C5', type = 'colombian', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '52, country = 'UK', city = London}
SaleTransaction {uuid = '08609832-205C-4A9A-8EB0-C8415193E6B1', type = 'espresso', size = 'S', price = '£3.00', offer = 'ga', discount = '20%', userId = '57, country = 'UK', city = London}
SaleTransaction {uuid = '9CFFF5BF-FD69-8566-7AFA-6FD34DF8A262', type = 'blend', size = 'L', price = '£4.50', offer = '', discount = '15%', userId = '51, country = 'UK', city = London}
SaleTransaction {uuid = '4CF11C2B-1D03-37E6-45A3-A0743B4CCBDC', type = 'espresso', size = 'L', price = '£4.50', offer = '', discount = '', userId = '66, country = 'UK', city = London}
SaleTransaction {uuid = '201069AE-5492-C978-25ED-372FE658D36E', type = 'blend', size = 'M', price = '£3.75', offer = '', discount = '', userId = '30, country = 'UK', city = London}
SaleTransaction {uuid = '69A8CBFC-3932-56D8-E948-22FD6A1E44BD', type = 'brazilian', size = 'L', price = '£4.50', offer = '', discount = '25%', userId = '95, country = 'UK', city = London}
SaleTransaction {uuid = '287087B9-A67F-0EC1-1BB4-B8239D7F1208', type = 'espresso', size = 'S', price = '£3.00', offer = '', discount = '', userId = '21, country = 'UK', city = London}
SaleTransaction {uuid = '698BC9FC-E4E5-80F1-951E-8381F2A1F56B', type = 'colombian', size = 'XL', price = '£5.00', offer = '', discount = '30%', userId = '35, country = 'UK', city = London}
SaleTransaction {uuid = 'F86075B2-66C0-6747-4D99-BF86FBBF4354', type = 'colombian', size = 'L', price = '£4.50', offer = '', discount = '25%', userId = '29, country = 'UK', city = London}
SaleTransaction {uuid = '6926A291-17AE-9A7E-AEC6-D24F7BEC3E31', type = 'blend', size = 'S', price = '£3.00', offer = '', discount = '15%', userId = '14, country = 'UK', city = London}
SaleTransaction {uuid = '6B342C13-C9EB-5AE1-52B0-11698AB329B5', type = 'blend', size = 'XL', price = '£5.00', offer = 'gft', discount = '30%', userId = '56, country = 'UK', city = London}
SaleTransaction {uuid = 'EA9B4A98-7501-1583-9EF3-E21106C44F46', type = 'brazilian', size = 'XL', price = '£5.00', offer = 'gft', discount = '', userId = '24, country = 'UK', city = London}
SaleTransaction {uuid = '503333BA-A9C5-2549-9101-5EF32C150DD7', type = 'colombian', size = 'M', price = '£3.75', offer = '', discount = '', userId = '52, country = 'UK', city = London}
SaleTransaction {uuid = 'B9431DAD-E090-C5EA-90DA-474FF5CC4F95', type = 'espresso', size = 'S', price = '£3.00', offer = '', discount = '', userId = '58, country = 'UK', city = London}
SaleTransaction {uuid = '5F2C2006-5DBF-82FA-B65A-6878E277402D', type = 'colombian', size = 'M', price = '£3.75', offer = 'ga', discount = '20%', userId = '88, country = 'UK', city = London}
SaleTransaction {uuid = '08DA1190-B48C-0293-C341-E735312D97E7', type = 'blend', size = 'S', price = '£3.00', offer = '', discount = '', userId = '82, country = 'UK', city = London}
SaleTransaction {uuid = 'E1157A61-679B-0BCE-4DC8-F363AC433F54', type = 'blend', size = 'M', price = '£3.75', offer = 'h&l', discount = '20%', userId = '22, country = 'UK', city = London}
SaleTransaction {uuid = '70538E25-1295-57D5-AF22-B402218F89C6', type = 'espresso', size = 'XL', price = '£5.00', offer = 'ga', discount = '30%', userId = '89, country = 'UK', city = London}
SaleTransaction {uuid = 'EF314E0C-9041-0AD0-A9C0-E1A4B2DD0C59', type = 'colombian', size = 'M', price = '£3.75', offer = 'sg', discount = '', userId = '23, country = 'UK', city = London}
SaleTransaction {uuid = 'D3B75F84-3F2A-F601-78FD-28D96E0EE1CA', type = 'colombian', size = 'L', price = '£4.50', offer = '', discount = '', userId = '54, country = 'UK', city = London}
SaleTransaction {uuid = '4850E988-A9DB-3399-543E-43CE91A298B5', type = 'colombian', size = 'S', price = '£3.00', offer = '', discount = '', userId = '7, country = 'UK', city = London}
SaleTransaction {uuid = '6689CEA0-B3FE-CF53-6EDF-D40EECA5592C', type = 'blend', size = 'L', price = '£4.50', offer = '', discount = '', userId = '33, country = 'UK', city = London}
SaleTransaction {uuid = '39CF5068-7804-261F-6EAE-E140F6B2C853', type = 'espresso', size = 'L', price = '£4.50', offer = 'gft', discount = '', userId = '62, country = 'UK', city = London}
SaleTransaction {uuid = '9639D373-E7F2-FC67-3990-CD487FA74919', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '52, country = 'UK', city = London}
SaleTransaction {uuid = 'D1DB8756-D047-3918-920E-ECBCB73FEF71', type = 'blend', size = 'S', price = '£3.00', offer = '', discount = '15%', userId = '87, country = 'UK', city = London}
SaleTransaction {uuid = '0B039D55-0EDF-8D74-2B6A-7A5F2CECF6B2', type = 'colombian', size = 'M', price = '£3.75', offer = '', discount = '30%', userId = '41, country = 'UK', city = London}
SaleTransaction {uuid = '8C64F7CB-8C24-50F1-0CB3-1FBAF8C446A6', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '29, country = 'UK', city = London}
SaleTransaction {uuid = '88104FD4-DD9F-2A58-C329-777D62D3EDD1', type = 'blend', size = 'S', price = '£3.00', offer = '', discount = '', userId = '32, country = 'UK', city = London}
SaleTransaction {uuid = '7E231C94-03B3-90ED-30E8-6A9A27937D63', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '30%', userId = '43, country = 'UK', city = London}
SaleTransaction {uuid = '518F2A6D-DAF6-53B1-98C1-C24233532868', type = 'colombian', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '99, country = 'UK', city = London}
SaleTransaction {uuid = '97DE2656-888B-DB6F-91DC-BF4C281A40B7', type = 'blend', size = 'S', price = '£3.00', offer = 'ga', discount = '30%', userId = '75, country = 'UK', city = London}
SaleTransaction {uuid = '9E87CB4E-367A-F13C-F263-2F5D82F6378D', type = 'espresso', size = 'M', price = '£3.75', offer = 'sg', discount = '', userId = '57, country = 'UK', city = London}
SaleTransaction {uuid = 'F7E7C550-C65B-CEAE-99C5-BEF9735D19F8', type = 'espresso', size = 'XL', price = '£5.00', offer = 'h&l', discount = '', userId = '69, country = 'UK', city = London}
SaleTransaction {uuid = '287087B9-A67F-0EC1-1BB4-B8239D7F1208', type = 'espresso', size = 'S', price = '£3.00', offer = '', discount = '', userId = '21, country = 'UK', city = London}
SaleTransaction {uuid = '63912E68-4A94-290A-3678-7313A648657E', type = 'blend', size = 'L', price = '£4.50', offer = '', discount = '', userId = '75, country = 'UK', city = London}
SaleTransaction {uuid = '70538E25-1295-57D5-AF22-B402218F89C6', type = 'espresso', size = 'XL', price = '£5.00', offer = 'ga', discount = '30%', userId = '89, country = 'UK', city = London}
SaleTransaction {uuid = '362EB171-C89D-B86C-3E43-764023C32F99', type = 'blend', size = 'S', price = '£3.00', offer = '', discount = '', userId = '18, country = 'UK', city = London}
SaleTransaction {uuid = '9639D373-E7F2-FC67-3990-CD487FA74919', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '52, country = 'UK', city = London}
